ticker,name
bhartiartl.ns,bharti airtel limited
ashokley.ns,ashok leyland limited
auropharma.ns,aurobindo pharma limited
arexmis.bo,arex industries ltd.
sanwaria.ns,sanwaria agro oils limited
almondz.ns,almondz global securities limited
adinath.bo,adinath textiles ltd
sbin.ns,state bank of india
bpcl.ns,bharat petroleum corporation limited
mbecl.ns,mcnally bharat engineering company limited
mahabank.ns,bank of maharashtra
dbcorp.bo,d. b. corp limited
boschltd.ns,bosch limited
bhel.bo,bharat heavy electricals ltd.
idbi.ns,idbi bank limited
irb.bo,irb infrastructure developers limited
dabur.ns,dabur india limited
tcidevelop.ns,tci developers limited
ndtv.bo,new delhi television limited
ishitadr.bo,ishita drugs & industries ltd
gdl.bo,gateway distriparks limited
drreddy.ns,dr. reddy's laboratories limited
dpscltd.ns,india power corporation limited
dlf.bo,dlf limited
deepaksp.bo,deepak spinners limited
danlaw.bo,danlaw technologies india limited
vipuldye.bo,vipul dye chem ltd.
vadidai.bo,vadilal dairy international ltd.
trimurthi.bo,trimurthi limited
thakdev.bo,thakkers developers ltd
tatamtrdvr.bo,tata motors ltd - dvr
supdf.bo,superstar distilleries & foods
shridine.bo,shri dinesh mills limited
radhede.bo,radhe developers (india) ltd.
protodev.bo,proto developers & technologies limited
prabhat.ns,prabhat dairy limited
ndmetal.bo,nd metal industries ltd
mdrnsut-b.bo,modern denim ltd.
mangalam.bo,mangalam drugs & organics limited
mahlife.ns,mahindra lifespace developers limited
lpdc.ns,landmark property development company limited
kaushalya.ns,kaushalya infrastructure development corporation limited
irb.ns,irb infrastructure developers limited
interdigi.bo,interworld digital ltd.
indtoner.bo,indian toners & developers ltd.
indlease.bo,india lease development limited
hdil.ns,housing development and infrastructure limited
hdil.bo,housing development & infrastructure limited
hdfc.ns,housing development finance corporation limited
hdfc.bo,housing development finance corporation limited
golkundia.bo,golkunda diamonds & jewellery limited
goenka.ns,goenka diamond and jewels limited
essdee.bo,ess dee aluminium limited
energydev.ns,energy development company limited
eidparry.bo,e.i.d.- parry (india) limited
kelenrg.bo,keltech energies limited
schneider.ns,schneider electric infrastructure limited
eastsilk.bo,eastern silk industries ltd.
tataelxsi.ns,tata elxsi limited
swarajeng.ns,swaraj engines limited
steerinter.bo,sterling international enterprises ltd.
sequele.bo,sequel e-routers ltd.
recltd.ns,rural electrification corporation limited
pel.ns,piramal enterprises limited
mkexim.bo,m.k. exim (india) limited
jaytex.bo,jaybharat textiles and real estate limited
ibrealest.bo,indiabulls real estate limited
everonn.ns,everonn education limited
esselpack.ns,essel propack limited
entegra.ns,entegra limited
emmessa.bo,emmessar biotech & nutrition limited
ecom.bo,e.com infotech india ltd.
bel.bo,bharat electronics limited
adaniports.ns,adani ports and special economic zone limited
zicom.bo,zicom electronic security systems limited
zanukcom.bo,anukaran commercial enterprises ltd.
ofss.ns,oracle financial services software limited
lichsgfin.ns,lic housing finance limited
fortunef.bo,fortune financial services (india) limited
sundrmfast.bo,sundram fasteners limited
sundarmfin.bo,sundaram finance limited
sitashree.ns,sita shree food products limited
relaxo.bo,relaxo footwears limited
rcf.bo,rashtriya chemicals and fertilizers limited
pfs.ns,ptc india financial services limited
pfc.ns,power finance corporation limited
nikkigl.bo,nikki global finance limited
muthootfin.ns,muthoot finance limited
max.ns,max financial services limited
magma.ns,magma fincorp limited
kzlfin.bo,kz leasing & finance ltd.
ifsl.bo,integrated financial services limited
hndfds.bo,hindustan foods limited
hilton.bo,hilton metal forging limitied
gowrale.bo,gowra leasing & finance ltd.
geefc.bo,geefcee finance limited
forcemot.bo,force motors ltd.
foodsin.bo,foods & inns ltd.
filme.bo,filmcity media ltd.
ffpl.bo,foundry fuel products ltd.
fact.ns,the fertilisers and chemicals travancore limited
arorafib.bo,arora fibres
ajwafun.bo,ajwa fun world & resort ltd
admanum.bo,ad-manum finance ltd
zsubwayf.bo,subway finance & investment co.ltd.
zsiyarpo.bo,siyaram poddar finance & tradi
zsherapr.bo,sheraton properties & finance
zsampktr.bo,sampark trading & finance ltd.
znivemer.bo,nivedita mercantile & financing ltd.
wsfin.bo,wall street finance ltd.
weizforex.ns,weizmann forex limited
weizforex.bo,weizmann forex ltd.
wallfort.bo,wallfort financial services limited
voithpapr.bo,voith paper fabrics india limited
vbcferroq.bo,vbc ferro alloys limited
vaxhs.bo,vax housing finance corporation ltd.
upasafn.bo,upasana finance ltd
tirfoam.bo,tirupati foam limited
gspl.ns,gujarat state petronet limited
gayaproj.bo,gayatri projects limited
gail.ns,gail (india) limited
tajgvk.bo,tajgvk hotels & resorts limited
powergrid.ns,power grid corporation of india limited
ongc.bo,oil and natural gas corp. ltd.
vhl.ns,vardhman holdings limited
hindunilvr.ns,hindustan unilever limited
hindpetro.ns,hindustan petroleum corporation limited
hcc.ns,hindustan construction company limited
paperprod.bo,huhtamaki ppl limited
ithl.bo,international travel house limited
hirect.ns,hind rectifiers limited
hesterbio.bo,hester biosciences ltd
hcc.bo,hindustan construction company limited
gujhote.bo,gujarat hotels ltd.
gravissho.bo,graviss hospitality limited
benaras.bo,benares hotels limited
zenithhe.bo,zenith healthcare ltd
wonderla.bo,wonderla holidays ltd
whbrady.bo,wh brady & company limited
thebyke.bo,the byke hospitality ltd.
syncom.ns,syncom healthcare limited
sunilhitec.bo,sunil hitech engineers ltd.
sterlinh6.bo,sterlinh6.bo
sterlinh.bo,sterling holiday resorts (india) limited
shharich.bo,shree hari chemicals export limited
sgjhl.bo,shree ganesh jewellery house (i) limited
rohltd.ns,royal orchid hotels limited
rohltd.bo,royal orchid hotels limited
jublinds.ns,jubilant industries limited
jkil.bo,j.kumar infraprojects limited
jvlagro.bo,jvl agro industries ltd
jisljaleqs.ns,jain irrigation systems limited
jaibalaji.bo,jai balaji industries ltd.
zodjrdmkj.ns,zodiac-jrd-mkj limited
sbbj.ns,state bank of bikaner & jaipur
sbbj.bo,state bank of bikaner & jaipur
pcjeweller-eq.ns,pc jeweller limite inr10
jyoti.bo,jyoti ltd.
jyothylab.ns,jyothy laboratories limited
jublfood.ns,jubilant foodworks limited
jublfood.bo,jubilant foodworks limited
jubilant.ns,jubilant life sciences limited
jswsteel.ns,jsw steel limited
jswsteel.bo,jsw steel ltd.
jswenergy.bo,jsw energy limited
jptsec.bo,jpt securities ltd.
jppower.ns,jaiprakash power ventures limited
jppower.bo,jaiprakash power ventures limited
jpolyinvst.ns,jindal poly investment and finance company limited
jpinfratec.bo,jaypee infratech limited
jktyre.ns,jk tyre & industries limited
jkpaper.ns,jk paper limited
jisldvreqs.ns,jain irrigation systems limited
jindcot.ns,jindal cotex limited
jindalsaw.ns,jindal saw limited
jetkingq.bo,jetking infotrain limited
jetairways.bo,jet airways (india) ltd.
jctltd.bo,jct ltd.
jbfind.ns,jbf industries limited
jameswarren.bo,james warren tea ltd
jaihindpro.ns,jaihind projects limited
jagsonfi.bo,jagsonpal finance & leasing ltd
jagran.ns,jagran prakashan limited
jmfinancil-eq.ns,jm financial inr1
divyajyq.bo,divya jyoti industries ltd
bjdup.bo,b.j.duplex boards ltd.
jagsnpharm-eq.ns,jagsonpal pharmace inr5
jamnaauto.ns,jamna auto industries limited
jaicorpltd.ns,jai corp limited
jaimi.bo,jai mata industries ltd.
jma.ns,jullundur motor agency (delhi) limited
jyotistruc-eq.ns,jyoti structures inr2
